trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-64.21162147027353,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,7,-61.902232268186246,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-171.966836511034,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-155.8385779848447,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-89.35362649057244,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-27.123913397405847,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-64.14042390396024,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-124.26329739618352,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-5.634979576139503,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-76.27996361115397,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-36.01130898840505,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-40.60853096813635,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-14.726733373580384,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,11,-60.48348812878303,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,1,11.484204159948824,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-22.481623999690164,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,4,-0.20137342799539804,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,12,18.431386363909038,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,11,13.326178428764123,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,21.253915823391637,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,6,26.908522711808033,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,5.858823328226142,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,12,20.17176881609449,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,25.7044260726372,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,3,32.544528913839606,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,4,27.52902449810729,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,20.08801389486314,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,4,31.90665233404009,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,26.907820608271138,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,1,27.470883383030834,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
