trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",25,0,-149.0686060957122,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.99995000041666526}",25,0,-265.6998275110516,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 5}",0
3,False,"{'a': 0.2, 'e': 0.99980000666657776}",20,0,-13.21345927530675,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.99955003374898754}",25,0,-125.60408521759409,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.99920010666097792}",25,0,-101.4340062756253,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.2, 'e': 0.99875026039496628}",25,0,-181.27861218760123,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.2, 'e': 0.99820053993520419}",20,0,-100.88368764822916,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.99755100025327959}",25,0,-53.72279992251051,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.99680170630261944}",20,0,-178.99671515143964,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.2, 'e': 0.99595273301199427}",25,0,-212.5610841096011,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
11,False,"{'a': 0.2, 'e': 0.99500416527802582}",25,0,-157.45836429386438,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.2, 'e': 0.99395609795669682}",25,9,-9.155213863061135,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.99280863585386625}",35,0,-130.68836450016877,"{0: 25, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.99156189371478809}",20,0,-31.14355712991597,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.99021599621263712}",20,0,-138.65864391375894,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.98877107793604224}",20,0,-136.0230467426768,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.98722728337562693}",20,0,-105.78511637723032,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.98558476690956076}",20,0,-144.7928971462251,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.98384369278812145}",25,0,-148.71949736691292,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.98200423511727031}",20,0,-15.498909437014952,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.98006657784124163}",25,5,-62.848151627634536,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",1
22,False,"{'a': 0.2, 'e': 0.97803091472414827}",25,0,-71.99216070311212,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.97589744933060552}",20,0,-32.431698064491336,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.2, 'e': 0.97366639500537489}",20,0,-129.42234637727188,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
25,False,"{'a': 0.2, 'e': 0.97133797485202966}",30,0,-160.94452716704774,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
26,False,"{'a': 0.2, 'e': 0.96891242171064473}",25,0,-154.1937036138144,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.96638997813451322}",20,0,-86.2143399818984,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
28,False,"{'a': 0.2, 'e': 0.96377089636589053}",20,0,-91.54044985751538,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.2, 'e': 0.96105543831077089}",25,11,-27.03592757382414,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.95824387551269719}",25,0,-105.04542489244658,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.2, 'e': 0.95533648912560598}",25,0,-93.98172792789005,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.2, 'e': 0.95233356988571338}",25,0,-94.08048977715936,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.2, 'e': 0.94923541808244083}",20,0,-108.84926249859609,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
