trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-119.34835339201943,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-214.98453366723177,"{0: 10, 1: 1, 2: 2, 3: 4, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.985}",30,0,-120.59407721180844,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-72.6159663650026,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-93.9595706761182,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-204.09254240299893,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.965}",30,14,-131.949197637956,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-125.99155524876652,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-175.10213536847328,"{0: 12, 1: 0, 2: 11, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-201.36333041893883,"{0: 9, 1: 2, 2: 3, 3: 3, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-105.0782672914546,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",35,0,-190.29746323971509,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-168.41545689342075,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-107.44737156429744,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",30,0,-89.62145071710484,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,7,-15.526012264202722,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",30,0,-199.6302978699936,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-117.7638814617219,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-204.5677400321231,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-54.78136056729627,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-90.77484653328659,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-121.61903549244721,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-93.74584385366853,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-83.1921513678546,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-239.10967845506593,"{0: 13, 1: 1, 2: 3, 3: 5, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-28.611315912480237,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,0,-229.89036901226694,"{0: 17, 1: 4, 2: 9, 3: 3, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-89.34402420009349,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-44.09780532968583,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-37.55751494876725,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
